id,case_number,date_time,latitude,longitude,type,place_description,police_district
13201454,JG413301,2023-09-06 09:08:00,41.74588634,-87.596903757,RECKLESS FIREARM DISCHARGE,ALLEY,004
13575259,JH401868,2024-08-25 19:31:00,41.654898347,-87.605106003,RECKLESS FIREARM DISCHARGE,CHA PARKING LOT / GROUNDS,005
13202198,JG414268,2023-09-06 21:30:00,41.722034416,-87.605773396,RECKLESS FIREARM DISCHARGE,ALLEY,006
13206134,JG414066,2023-09-06 18:40:00,41.923839898,-87.774875827,RECKLESS FIREARM DISCHARGE,STREET,025
13575122,JH401568,2024-08-25 14:41:00,41.837432096,-87.647762285,RECKLESS FIREARM DISCHARGE,CHA PARKING LOT / GROUNDS,009
13574534,JH400896,2024-08-25 00:16:00,41.764153264,-87.596610601,RECKLESS FIREARM DISCHARGE,STREET,003
13574648,JH400947,2024-08-25 00:28:00,41.812205002,-87.609889353,RECKLESS FIREARM DISCHARGE,STREET,002
13574725,JH401109,2024-08-25 05:03:00,41.779200334,-87.687869227,RECKLESS FIREARM DISCHARGE,STREET,008
13574635,JH401060,2024-08-25 03:08:00,41.844200577,-87.72857401,RECKLESS FIREARM DISCHARGE,STREET,010
13575489,JH402086,2024-08-25 23:41:00,41.763260479,-87.605513109,RECKLESS FIREARM DISCHARGE,ALLEY,003
13575158,JH401647,2024-08-25 15:48:00,41.806574495,-87.689806266,RECKLESS FIREARM DISCHARGE,STREET,009
13202260,JG414358,2023-09-07 00:48:00,41.769145359,-87.592378197,RECKLESS FIREARM DISCHARGE,STREET,003
13202315,JG414388,2023-09-07 01:50:00,41.782971547,-87.614478581,RECKLESS FIREARM DISCHARGE,STREET,003
13202326,JG414359,2023-09-07 00:52:00,41.909325455,-87.769781921,RECKLESS FIREARM DISCHARGE,ALLEY,025
13203425,JG415592,2023-09-07 21:20:00,41.79602825,-87.646219723,RECKLESS FIREARM DISCHARGE,STREET,009
13576376,JH403187,2024-08-26 15:35:00,41.904415909,-87.722018303,RECKLESS FIREARM DISCHARGE,STREET,025
13204247,JG416700,2023-09-08 17:50:00,41.876027915,-87.692047468,RECKLESS FIREARM DISCHARGE,STREET,011
13204583,JG416965,2023-09-08 22:15:00,41.762040495,-87.616182056,RECKLESS FIREARM DISCHARGE,STREET,003
13576779,JH403534,2024-08-26 23:59:00,41.811447374,-87.667488051,RECKLESS FIREARM DISCHARGE,STREET,009
13575524,JH402159,2024-08-26 01:26:00,41.916261985,-87.716739385,RECKLESS FIREARM DISCHARGE,STREET,025
13576605,JH403458,2024-08-26 21:34:00,41.919319567,-87.726623328,RECKLESS FIREARM DISCHARGE,ALLEY,025
13272995,JG499334,2023-11-10 18:00:00,41.791350864,-87.654802831,RECKLESS FIREARM DISCHARGE,STREET,007
13205558,JG418135,2023-09-09 23:09:00,41.937583655,-87.743187976,RECKLESS FIREARM DISCHARGE,STREET,025
13204725,JG417145,2023-09-09 02:16:00,41.812074076,-87.749396256,RECKLESS FIREARM DISCHARGE,ALLEY,008
13205529,JG418132,2023-09-09 22:49:00,41.849129914,-87.705173322,RECKLESS FIREARM DISCHARGE,ALLEY,010
