id,case_number,date_time,latitude,longitude,type,place_description,police_district
SHOOT-JG134757-#1,JG134757,2023-01-30 13:13:00,41.749631654,-87.664005346,BATTERY,STREET,006
SHOOT-JG446904-#2,JG446904,2023-10-01 22:44:00,41.827691918,-87.680403976,BATTERY,STREET,009
HOM-JH175123-#1,JH175123,2024-03-04 13:19:00,41.844201654,-87.705944654,HOMICIDE,STREET,010
HOM-JH175867-#1,JH175867,2024-03-04 23:50:00,41.887061654,-87.755605346,HOMICIDE,STREET,015
HOM-JG484795-#1,JG484795,2023-10-30 17:04:00,41.7365405,-87.57713,HOMICIDE,PARKING LOT,004
HOM-JG148375-#1,JG148375,2023-02-11 02:30:00,41.7399005,-87.62286,HOMICIDE,ALLEY,006
HOM-JG158505-#1,JG158505,2023-02-19 15:56:00,41.7515205,-87.56488,HOMICIDE,STREET,004
HOM-JG241315-#1,JG241315,2023-04-29 00:32:00,41.8881505,-87.74929,HOMICIDE,STREET,015
HOM-JG199405-#1,JG199405,2023-03-26 05:52:00,41.8803005,-87.70137,HOMICIDE,ALLEY,011
HOM-JG206745-#1,JG206745,2023-04-01 01:10:00,41.8718405,-87.72373,HOMICIDE,STREET,011
HOM-JG357035-#1,JG357035,2023-07-26 16:10:00,41.7358105,-87.62401,HOMICIDE,GAS STATION DRIVE/PROP.,006
HOM-JH337729-#1,JH337729,2024-07-07 23:44:00,41.732683096,-87.605749059,HOMICIDE,STREET,006
HOM-JG375055-#1,JG375055,2023-08-08 20:06:00,41.7504505,-87.61156,HOMICIDE,STREET,006
HOM-JG257405-#1,JG257405,2023-05-12 00:44:00,41.7772805,-87.67372,HOMICIDE,PORCH,007
SHOOT-JG336020-#1,JG336020,2023-07-10 21:55:00,41.765479669,-87.566198547,HOMICIDE,STREET,003
HOM-JG393005-#1,JG393005,2023-08-22 11:29:00,41.8141505,-87.6139,HOMICIDE,STREET,002
SHOOT-JH310267-#1,JH310267,2024-06-17 18:39:00,41.766031654,-87.573205346,HOMICIDE,STREET,003
SHOOT-JH327962-#1,JH327962,2024-06-30 18:29:00,41.875558346,-87.725974654,BATTERY,STREET,011
HOM-JG287125-#1,JG287125,2023-06-03 23:25:00,41.7429205,-87.60123,HOMICIDE,PORCH,006
SHOOT-JH333767-#1,JH333767,2024-07-05 01:44:00,41.880041654,-87.773265346,BATTERY,SIDEWALK,015
HOM-JG292645-#1,JG292645,2023-06-08 04:19:00,41.8702205,-87.74477,HOMICIDE,GAS STATION DRIVE/PROP.,011
HOM-JG407235-#1,JG407235,2023-09-01 18:04:00,41.8243005,-87.63148,HOMICIDE,CHA GROUNDS,009
SHOOT-JH334687-#1,JH334687,2024-07-05 15:25:00,41.717601654,-87.632775346,BATTERY,STREET,005
HOM-JG445425-#1,JG445425,2023-09-30 17:59:00,41.8799605,-87.74821,HOMICIDE,STREET,015
HOM-JG332295-#1,JG332295,2023-07-08 04:00:00,41.7190805,-87.62634,HOMICIDE,STREET,005
